id,host_id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,log_precios
2539,2787,41.11,40.64749,-73.97237,2,149,1,9,6,365,5.003946305945459
2595,2845,44.31,40.75362,-73.98377,1,225,1,45,2,355,5.41610040220442
3647,4632,44.31,40.80902,-73.9419,2,150,3,0,1,365,5.0106352940962555
3831,4869,41.11,40.68514,-73.95976,1,89,1,270,1,194,4.48863636973214
5022,7192,44.31,40.79851,-73.94399,1,80,10,9,1,0,4.382026634673881
5099,7322,44.31,40.74767,-73.975,1,200,3,74,1,129,5.298317366548036
5121,7356,41.11,40.68688,-73.95596,2,60,45,49,1,0,4.0943445622221
5178,8967,44.31,40.76489,-73.98493,2,79,2,430,1,220,4.3694478524670215
5203,7490,44.31,40.80178,-73.96723,2,79,2,118,1,0,4.3694478524670215
5238,7549,44.31,40.71344,-73.99037,1,150,1,160,4,188,5.0106352940962555
5295,7702,44.31,40.80316,-73.96545,1,135,5,53,1,6,4.90527477843843
5441,7989,44.31,40.76076,-73.98867,2,85,2,188,1,39,4.442651256490317
5803,9744,41.11,40.66829,-73.98779,2,89,4,167,3,314,4.48863636973214
6021,11528,44.31,40.79826,-73.96113,2,85,2,113,1,333,4.442651256490317
6090,11975,44.31,40.7353,-74.00525,1,120,90,27,1,0,4.787491742782046
6848,15991,41.11,40.70837,-73.95352,1,140,2,148,1,46,4.941642422609304
7097,17571,41.11,40.69169,-73.97185,1,215,2,198,1,321,5.3706380281276624
7322,18946,44.31,40.74192,-73.99501,2,140,1,260,1,12,4.941642422609304
7726,20950,41.11,40.67592,-73.94694,1,99,3,53,1,21,4.59511985013459
7750,17985,44.31,40.79685,-73.94872,1,190,7,0,2,249,5.247024072160486
7801,21207,41.11,40.71842,-73.95718,1,299,3,9,1,0,5.700443573390687
8024,22486,41.11,40.68069,-73.97706,2,130,2,130,6,347,4.867534450455582
8025,22486,41.11,40.67989,-73.97798,2,80,1,39,6,364,4.382026634673881
8110,22486,41.11,40.68001,-73.97865,2,110,2,71,6,304,4.700480365792417
8490,25183,41.11,40.68371,-73.94028,1,120,2,88,2,233,4.787491742782046
8505,25326,41.11,40.65599,-73.97519,2,60,1,19,2,85,4.0943445622221
8700,26394,44.31,40.86754,-73.92639,2,80,4,0,1,0,4.382026634673881
9357,30193,44.31,40.76715,-73.98533,1,150,10,58,1,75,5.0106352940962555
9518,31374,44.31,40.86482,-73.92106,2,44,3,108,3,311,3.784189633918261
9657,21904,44.31,40.7292,-73.98542,1,180,14,29,1,67,5.19295685089021
9668,32294,44.31,40.82245,-73.95104,2,50,3,242,3,355,3.912023005428146
9704,32045,44.31,40.81305,-73.95466,2,52,2,88,1,255,3.9512437185814275
9782,32169,41.11,40.72219,-73.93762,2,55,4,197,3,284,4.007333185232471
9783,32294,44.31,40.8213,-73.95318,2,50,3,273,3,359,3.912023005428146
10452,35935,41.11,40.6831,-73.95473,2,70,1,74,2,269,4.248495242049359
10962,9744,41.11,40.66869,-73.9878,2,89,4,168,3,340,4.48863636973214
11452,7355,41.11,40.68876,-73.94312,2,35,60,0,1,365,3.5553480614894135
11708,44145,41.11,40.70186,-73.92745,1,85,2,231,2,22,4.442651256490317
11943,45445,41.11,40.63702,-73.96327,2,150,1,0,1,365,5.0106352940962555
12048,7549,44.31,40.71401,-73.98917,3,40,1,214,4,188,3.6888794541139363
12192,46978,44.31,40.7229,-73.98199,2,68,2,245,2,96,4.219507705176107
12299,47610,41.11,40.66278,-73.97966,1,120,3,15,1,345,4.787491742782046
12303,47618,41.11,40.69673,-73.97584,2,120,7,25,1,311,4.787491742782046
12318,16800,44.31,40.79009,-73.97927,2,135,4,81,1,273,4.90527477843843
12343,47727,44.31,40.81175,-73.94478,1,150,7,97,1,309,5.0106352940962555
12627,49670,41.11,40.65944,-73.96238,1,150,29,11,1,95,5.0106352940962555
12937,50124,11.59,40.74771,-73.9474,2,130,3,248,1,215,4.867534450455582
12940,50148,41.11,40.68111,-73.95591,1,110,7,61,1,265,4.700480365792417
13050,50846,41.11,40.68554,-73.9409,1,115,3,11,1,0,4.74493212836325
13394,52335,41.11,40.69142,-73.97376,2,80,3,135,2,192,4.382026634673881
13808,54275,41.11,40.68043,-73.93934,2,80,1,112,3,251,4.382026634673881
14287,56094,44.31,40.78635,-73.97008,1,151,2,73,1,302,5.017279836814924
14290,56104,41.11,40.7042,-73.9356,1,228,3,82,1,140,5.429345628954441
14314,56246,41.11,40.73506,-73.95392,1,144,2,328,1,234,4.969813299576001
14322,56284,44.31,40.73961,-73.98074,1,200,7,19,1,257,5.298317366548036
14377,56512,41.11,40.70881,-73.9593,1,150,30,105,1,30,5.0106352940962555
14991,59023,44.31,40.72004,-73.99104,2,110,5,19,1,301,4.700480365792417
15220,59734,44.31,40.75531,-73.99293,2,69,2,289,2,294,4.23410650459726
15338,32169,41.11,40.72401,-73.93788,2,49,4,138,3,320,3.8918202981106265
15341,60049,44.31,40.7221,-73.99775,1,180,30,21,1,154,5.19295685089021
15385,60252,41.11,40.71185,-73.96204,2,80,2,42,1,263,4.382026634673881
15396,60278,44.31,40.74623,-73.9953,1,375,180,5,1,180,5.926926025970411
15711,61491,44.31,40.77065,-73.95269,1,250,2,66,2,231,5.521460917862246
16326,63588,41.11,40.67811,-73.96428,1,200,30,143,2,297,5.298317366548036
16338,63613,41.11,40.69,-73.96788,2,55,7,27,2,292,4.007333185232471
16421,63924,44.31,40.75979,-73.99119,2,52,30,191,1,191,3.9512437185814275
16458,64056,41.11,40.67343,-73.98338,1,225,3,4,1,0,5.41610040220442
16580,64442,44.31,40.72649,-73.97904,2,80,1,338,2,72,4.382026634673881
16595,64522,41.11,40.70933,-73.96792,1,275,1,148,1,362,5.616771097666572
16821,4396,44.31,40.72298,-73.98474,2,99,1,106,2,336,4.59511985013459
16974,65837,44.31,40.80164,-73.93922,1,225,4,190,1,215,5.41610040220442
17037,66035,44.31,40.72162,-73.98008,1,230,9,49,1,116,5.438079308923196
17092,66243,44.31,40.76342,-73.98865,2,51,7,23,1,88,3.9318256327243257
17693,68428,44.31,40.83139,-73.94095,2,65,2,49,2,336,4.174387269895637
17747,68599,41.11,40.68346,-73.96374,2,105,2,105,1,304,4.653960350157523
18127,69829,44.31,40.72828,-73.98801,1,190,5,21,1,224,5.247024072160486
18152,69942,44.31,40.76865,-73.95058,2,200,1,142,1,322,5.298317366548036
18198,70091,11.59,40.75038,-73.90334,2,70,30,25,1,324,4.248495242049359
18590,71512,41.11,40.6932,-73.97267,2,95,3,143,1,132,4.553876891600541
18728,71876,44.31,40.74138,-74.00197,2,150,3,167,1,295,5.0106352940962555
18764,72014,41.11,40.71154,-73.96112,2,145,3,61,4,238,4.976733742420574
19159,73051,44.31,40.82915,-73.95136,1,110,31,54,1,209,4.700480365792417
19169,73128,44.31,40.71851,-73.98892,1,285,5,70,1,328,5.652489180268651
19282,73469,41.11,40.65401,-73.96323,1,130,6,16,1,38,4.867534450455582
19319,44263,44.31,40.7114,-73.98794,2,94,30,94,1,188,4.543294782270004
19601,74303,41.11,40.69723,-73.99268,1,800,1,25,1,7,6.684611727667927
19812,74857,41.11,40.71833,-73.95748,1,105,3,61,1,272,4.653960350157523
20299,62407,44.31,40.72334,-73.9844,2,60,3,194,1,26,4.0943445622221
20300,76627,44.31,40.72912,-73.98057,2,50,1,2,1,0,3.912023005428146
20611,72014,41.11,40.71156,-73.96218,2,85,3,174,4,288,4.442651256490317
20724,961342,41.11,40.70032,-73.9383,2,65,4,24,1,317,4.174387269895637
20734,78460,41.11,40.68233,-73.97261,1,131,4,166,1,207,4.875197323201151
20755,51038,41.11,40.68634,-73.966,2,98,7,16,6,185,4.584967478670572
20853,79070,41.11,40.68035,-73.97162,1,250,7,21,1,158,5.521460917862246
20913,79402,41.11,40.70984,-73.95775,1,100,5,168,1,0,4.605170185988092
21293,44145,41.11,40.70093,-73.92609,1,105,3,118,2,9,4.653960350157523
21456,42032,44.31,40.79764,-73.96177,1,140,3,81,1,198,4.941642422609304
21644,82685,44.31,40.82803,-73.94731,2,89,1,1,1,365,4.48863636973214
21794,83257,44.31,40.74008,-74.00271,2,98,30,30,2,364,4.584967478670572
22911,87773,41.11,40.68413,-73.92357,1,125,7,139,2,311,4.8283137373023015
22918,32294,44.31,40.82279,-73.95139,2,60,3,11,3,219,4.0943445622221
23135,11481,41.11,40.67967,-74.00154,1,175,2,233,3,342,5.1647859739235145
